UniID,Sex,Age,Area,FaEdu,MoEdu,FaJob,MoJob,Reason,StudyTime,Failures,HigherEdu,Freetime,Friends,DAlc,WAlc,Absences,Result
A,Nu,18,TT,1,1,Cong,Khac,Khoa hoc,2,0,Co,4,2,1,2,0,12
A,Nu,21,NT,1,2,Khac,Khac,Truong,2,0,Khong,3,5,1,2,12,10
B,Nam,21,NT,2,4,Khac,Khac,Nha,1,1,Co,4,3,4,3,0,0
A,Nu,21,TT,1,2,Khac,Cong,Truong,2,3,Khong,4,5,1,3,10,8
B,Nu,20,TT,1,1,Nha,Nha,Khac,2,0,Co,5,5,1,2,2,11
B,Nu,18,NT,1,1,Nha,Nha,Khoa hoc,2,0,Co,2,1,1,2,0,14
A,Nu,21,TT,4,4,Khac,Y,Nha,2,0,Co,2,4,1,1,0,15
B,Nu,19,TT,4,4,Y,Y,Khoa hoc,2,0,Co,3,4,1,2,4,8
A,Nam,18,TT,2,4,Y,Y,Khac,1,0,Co,5,5,3,4,4,9
B,Nu,19,NT,1,1,Khac,Khac,Nha,4,0,Co,3,2,1,1,0,13
A,Nam,20,TT,1,3,Khac,Cong,Khac,2,0,Co,4,4,3,4,0,14
A,Nu,20,TT,2,2,Khac,Khac,Khoa hoc,2,0,Co,4,5,1,2,12,14
A,Nu,19,TT,3,3,Khac,Khac,Truong,2,0,Co,4,5,1,1,0,15
A,Nam,21,TT,2,2,Nha,Khac,Khoa hoc,1,1,Khong,4,3,2,2,26,8
A,Nu,20,TT,1,1,GV,Cong,Truong,3,0,Co,3,3,1,1,0,14
A,Nam,19,NT,3,3,Cong,Cong,Truong,1,0,Co,3,2,3,4,0,10
B,Nu,21,TT,3,3,Khac,Khac,Nha,2,0,Co,1,3,1,2,1,16
B,Nam,18,NT,1,1,Khac,Khac,Khoa hoc,2,0,Co,4,5,2,4,8,9
A,Nam,20,TT,3,2,Cong,Cong,Truong,2,0,Co,3,3,1,3,0,11
B,Nu,19,TT,2,2,Khac,Nha,Truong,4,0,Khong,2,1,1,1,4,11
A,Nu,20,NT,2,2,Khac,Khac,Truong,1,0,Co,3,2,1,2,21,13
B,Nam,21,TT,4,4,GV,GV,Nha,2,0,Co,2,4,1,4,4,19
A,Nam,19,NT,3,3,Khac,GV,Nha,1,0,Co,3,4,3,5,16,12
A,Nu,18,TT,1,1,Khac,Khac,Nha,2,0,Co,3,2,2,3,2,12
A,Nu,18,TT,2,4,Khac,Khac,Truong,3,0,Co,3,3,1,3,4,15
B,Nu,19,NT,2,2,Khac,Khac,Khoa hoc,2,0,Co,4,5,1,1,4,11
A,Nu,19,TT,2,2,Khac,Khac,Nha,2,0,Co,4,4,1,1,0,11
A,Nu,18,NT,4,3,Y,Cong,Khoa hoc,3,0,Co,3,2,1,1,2,12
A,Nam,18,TT,2,2,Khac,Khac,Nha,3,0,Co,5,2,1,1,0,15
